customer_id,age,annual_income,total_purchases,first_purchase_date,product_category
1,52.450712295168486,109983.88591465005,3354.7931121640386,2018-01-01,Mobile
2,42.92603548243223,98115.84207281921,4361.380789071171,2018-01-02,Electronics
3,54.715328071510385,76490.75924800435,1654.8356298876997,2018-01-03,TV
4,67.84544784612038,58826.58055736065,5142.764838816203,2018-01-04,Mobile
5,41.48769937914996,92455.58284033975,6240.580546505778,2018-01-05,Mobile
6,41.487945645762295,84837.13463554374,6999.192301660983,2018-01-06,TV
7,68.68819223261087,97379.83050069331,1984.1313894659734,2018-01-07,Home Appliance
8,56.51152093729363,90879.29504204924,3205.3017884372207,2018-01-08,TV
9,37.95788421097572,101238.81788298338,6697.664546965935,2018-01-09,Home Appliance
10,53.13840065378947,61619.119710985804,4260.35236407051,2018-01-10,Mobile
11,38.04873460781307,107934.85164085813,6178.310423383201,2018-01-11,Mobile
12,38.01405369644615,79939.99011731,2468.852914249571,2018-01-12,Mobile
13,48.629434073490515,126881.52181563164,8266.345500964095,2018-01-13,Electronics
14,16.300796330133032,57770.3045477608,2371.855987557715,2018-01-14,Electronics
15,19.126232512304508,118399.09507913124,710.9248165629418,2018-01-15,Electronics
16,36.56568706138541,79947.7695865662,5075.200502645751,2018-01-16,TV
17,29.80753319498364,58714.549909638794,5134.393132127556,2018-01-17,Mobile
18,49.71370998892911,62902.85414864196,3683.142489984836,2018-01-18,Mobile
19,31.37963886718184,66991.317295142,5773.209213104443,2018-01-19,TV
20,23.815444479970626,85604.14866004791,5845.987917790015,2018-01-20,Electronics
21,66.98473153382331,88070.88720088749,5566.748171417762,2018-01-21,TV
22,41.61335549270196,60657.49990153553,3651.267122542625,2018-01-22,Electronics
23,46.012923070318855,74391.13519347543,3321.0417924400517,2018-01-23,Mobile
24,23.628777206798148,128556.75896529658,3837.1774754812814,2018-01-24,Home Appliance
25,36.834259132122256,118188.57925251778,3105.957696689136,2018-01-25,Electronics
26,46.663838845647994,85908.0917418508,7531.426734532399,2018-01-26,Mobile
27,27.735096338665457,75950.086954205,3993.5670207985036,2018-01-27,Mobile
28,50.63547027518508,78000.78316795653,5010.0089908263535,2018-01-28,Home Appliance
29,35.99041965121793,90337.94931826042,6685.6422063192185,2018-01-29,Mobile
30,40.62459375310085,49430.18587003986,3032.9110185556037,2018-01-30,Mobile
31,35.97440081655905,68565.58656441637,2321.2458871155222,2018-01-31,Electronics
32,72.78417276763406,33285.39815306026,3111.167768981633,2018-02-01,Electronics
33,44.79754162893099,84980.57806513198,5257.15377837155,2018-02-02,Home Appliance
34,29.134336065661493,91179.89849256852,5097.485412450765,2018-02-03,Home Appliance
35,57.338173681547836,62920.33844251565,5562.008735407756,2018-02-04,Mobile
36,26.687345250434667,114349.66908225082,4447.214915827669,2018-02-05,Electronics
37,48.132953925071334,44355.85842494147,1132.1321586529225,2018-02-06,Home Appliance
38,15.604948141803366,38390.6279947545,4382.55931011789,2018-02-07,Home Appliance
39,25.077209266523543,80611.2954639993,7078.253619805907,2018-02-08,TV
40,47.952918538036855,101177.45756530386,7878.737614806555,2018-02-09,Home Appliance
41,56.07699869993115,117098.19228644672,4860.820956399183,2018-02-10,Mobile
42,47.57052421784956,63527.8934282765,5106.026850987781,2018-02-11,Electronics
43,43.265275764176394,101967.02083578239,6127.278801924179,2018-02-12,Home Appliance
44,40.48344456616067,74037.28826248233,7780.3817474347115,2018-02-13,TV
45,22.822170144488588,70684.31750147951,4667.807281065719,2018-02-14,Electronics
46,34.20233687407937,97091.49843716681,6089.6305369849015,2018-02-15,Home Appliance
47,38.09041843560319,91308.0719603355,3575.5405888980786,2018-02-16,TV
48,60.856833393283736,35590.19607539377,2495.1524230094296,2018-02-17,Home Appliance
49,50.15427434352692,111913.5087431474,3754.4198365115394,2018-02-18,Electronics
50,18.55439766955899,109502.2838536863,8560.111213344673,2018-02-19,Electronics
51,49.86125954092192,59360.932462261764,6143.964847512107,2018-02-20,Electronics
52,39.22376579375525,84895.08833593523,2613.496697605353,2018-02-21,Mobile
53,34.84616999541062,87350.75465706846,6270.086058639565,2018-02-22,Home Appliance
54,54.175144332613016,81516.84414559767,2713.0370166345724,2018-02-23,Mobile
55,60.46499283743927,61242.3711538645,5527.946576747568,2018-02-24,Electronics
56,58.96920178674298,58209.41580154871,2976.6606907876026,2018-02-25,TV
57,32.41173715166042,74361.14822521387,2539.961268833309,2018-02-26,Home Appliance
58,40.36181436223178,104318.22548148411,9190.699165019407,2018-02-27,Mobile
59,49.96895147105346,88590.0038648608,3992.157896772407,2018-02-28,Home Appliance
60,59.63317690683539,65734.64169784736,6094.7414177116025,2018-03-01,TV
61,37.81238643232065,94292.46776620862,4755.62148941261,2018-03-02,Mobile
62,42.215115350042744,3786.4344842481078,2819.229981264145,2018-03-03,Electronics
63,28.404975389909577,103719.14250930259,4190.048900771254,2018-03-04,Mobile
64,27.056900638789937,31507.155530547512,2831.347587067727,2018-03-05,Home Appliance
65,57.18788733591297,65938.9764649217,12059.51647623211,2018-03-06,Home Appliance
66,65.34360042856234,47008.252634346405,6575.087983002735,2018-03-07,Home Appliance
67,43.91984817629499,42632.96310697736,4715.366975141064,2018-03-08,Home Appliance
68,60.052993468380365,104020.66968446298,5951.166694047576,2018-03-09,Electronics
69,50.424540375714514,63307.46996720272,6388.933983436244,2018-03-10,Mobile
70,35.323203680923136,83662.59704326789,6396.4064146130495,2018-03-11,Electronics
71,50.42093408262621,73826.98552802039,6276.350018271155,2018-03-12,Electronics
72,68.07054849698955,86926.02068057803,6065.433069904373,2018-03-13,Electronics
73,44.46260941335073,76920.54727650639,4890.177765084336,2018-03-14,Home Appliance
74,68.4696548372101,42925.194395285755,8876.47793895078,2018-03-15,Home Appliance
75,5.703823438653835,99906.6704861785,5031.716156953477,2018-03-16,Home Appliance
76,57.32853756562836,62656.08542096719,4777.462112175747,2018-03-17,Mobile
77,46.30570602357257,36085.45253350622,5051.232535207219,2018-03-18,TV
78,40.51488974301199,64297.12097585219,5213.752442745817,2018-03-19,Home Appliance
79,46.37641164803254,112518.99476585777,1992.272395109447,2018-03-20,Mobile
80,15.186466280986608,96255.54355283732,3095.960953237259,2018-03-21,Home Appliance
81,41.70492168243732,66283.69663980351,4447.145865734375,2018-03-22,Home Appliance
82,50.3566885726762,66268.55739203928,1940.9294699458533,2018-03-23,Electronics
83,67.16841067112274,66959.12371956544,4711.932209597231,2018-03-24,Electronics
84,37.22594672589529,126918.69958902102,5182.989066133961,2018-03-25,Electronics
