customer_id,age,annual_income,total_purchases,first_purchase_date,product_category,product_category_diversity,loyalty_duration,customer_segment
1,52.450712295168486,109983.88591465005,3354.7931121640386,2018-01-01,Mobile,1,2514,0
2,42.92603548243223,98115.84207281921,4361.380789071171,2018-01-02,Electronics,1,2513,0
3,54.715328071510385,76490.75924800435,1654.8356298876997,2018-01-03,TV,1,2512,0
4,67.84544784612038,58826.58055736065,5142.764838816203,2018-01-04,Mobile,1,2511,0
5,41.48769937914996,92455.58284033975,6240.580546505778,2018-01-05,Mobile,1,2510,0
6,41.487945645762295,84837.13463554374,6999.192301660983,2018-01-06,TV,1,2509,0
7,68.68819223261087,97379.83050069331,1984.1313894659734,2018-01-07,Home Appliance,1,2508,0
8,56.51152093729363,90879.29504204924,3205.3017884372207,2018-01-08,TV,1,2507,0
9,37.95788421097572,101238.81788298338,6697.664546965935,2018-01-09,Home Appliance,1,2506,0
10,53.13840065378947,61619.119710985804,4260.35236407051,2018-01-10,Mobile,1,2505,0
11,38.04873460781307,107934.85164085813,6178.310423383201,2018-01-11,Mobile,1,2504,0
12,38.01405369644615,79939.99011731,2468.852914249571,2018-01-12,Mobile,1,2503,0
13,48.629434073490515,126881.52181563164,8266.345500964095,2018-01-13,Electronics,1,2502,0
14,16.300796330133032,57770.3045477608,2371.855987557715,2018-01-14,Electronics,1,2501,1
15,19.126232512304508,118399.09507913124,710.9248165629418,2018-01-15,Electronics,1,2500,1
16,36.56568706138541,79947.7695865662,5075.200502645751,2018-01-16,TV,1,2499,0
17,29.80753319498364,58714.549909638794,5134.393132127556,2018-01-17,Mobile,1,2498,0
18,49.71370998892911,62902.85414864196,3683.142489984836,2018-01-18,Mobile,1,2497,0
19,31.37963886718184,66991.317295142,5773.209213104443,2018-01-19,TV,1,2496,0
20,23.815444479970626,85604.14866004791,5845.987917790015,2018-01-20,Electronics,1,2495,1
21,66.98473153382331,88070.88720088749,5566.748171417762,2018-01-21,TV,1,2494,0
22,41.61335549270196,60657.49990153553,3651.267122542625,2018-01-22,Electronics,1,2493,0
23,46.012923070318855,74391.13519347543,3321.0417924400517,2018-01-23,Mobile,1,2492,0
24,23.628777206798148,128556.75896529658,3837.1774754812814,2018-01-24,Home Appliance,1,2491,1
25,36.834259132122256,118188.57925251778,3105.957696689136,2018-01-25,Electronics,1,2490,1
26,46.663838845647994,85908.0917418508,7531.426734532399,2018-01-26,Mobile,1,2489,0
27,27.735096338665457,75950.086954205,3993.5670207985036,2018-01-27,Mobile,1,2488,1
28,50.63547027518508,78000.78316795653,5010.0089908263535,2018-01-28,Home Appliance,1,2487,0
29,35.99041965121793,90337.94931826042,6685.6422063192185,2018-01-29,Mobile,1,2486,0
30,40.62459375310085,49430.18587003986,3032.9110185556037,2018-01-30,Mobile,1,2485,0
31,35.97440081655905,68565.58656441637,2321.2458871155222,2018-01-31,Electronics,1,2484,0
32,72.78417276763406,33285.39815306026,3111.167768981633,2018-02-01,Electronics,1,2483,0
33,44.79754162893099,84980.57806513198,5257.15377837155,2018-02-02,Home Appliance,1,2482,0
34,29.134336065661493,91179.89849256852,5097.485412450765,2018-02-03,Home Appliance,1,2481,1
35,57.338173681547836,62920.33844251565,5562.008735407756,2018-02-04,Mobile,1,2480,0
36,26.687345250434667,114349.66908225082,4447.214915827669,2018-02-05,Electronics,1,2479,1
37,48.132953925071334,44355.85842494147,1132.1321586529225,2018-02-06,Home Appliance,1,2478,0
38,15.604948141803366,38390.6279947545,4382.55931011789,2018-02-07,Home Appliance,1,2477,1
39,25.077209266523543,80611.2954639993,7078.253619805907,2018-02-08,TV,1,2476,1
40,47.952918538036855,101177.45756530386,7878.737614806555,2018-02-09,Home Appliance,1,2475,0
41,56.07699869993115,117098.19228644672,4860.820956399183,2018-02-10,Mobile,1,2474,0
42,47.57052421784956,63527.8934282765,5106.026850987781,2018-02-11,Electronics,1,2473,0
43,43.265275764176394,101967.02083578239,6127.278801924179,2018-02-12,Home Appliance,1,2472,0
44,40.48344456616067,74037.28826248233,7780.3817474347115,2018-02-13,TV,1,2471,0
45,22.822170144488588,70684.31750147951,4667.807281065719,2018-02-14,Electronics,1,2470,1
46,34.20233687407937,97091.49843716681,6089.6305369849015,2018-02-15,Home Appliance,1,2469,1
47,38.09041843560319,91308.0719603355,3575.5405888980786,2018-02-16,TV,1,2468,0
48,60.856833393283736,35590.19607539377,2495.1524230094296,2018-02-17,Home Appliance,1,2467,0
49,50.15427434352692,111913.5087431474,3754.4198365115394,2018-02-18,Electronics,1,2466,0
50,18.55439766955899,109502.2838536863,8560.111213344673,2018-02-19,Electronics,1,2465,1
51,49.86125954092192,59360.932462261764,6143.964847512107,2018-02-20,Electronics,1,2464,0
52,39.22376579375525,84895.08833593523,2613.496697605353,2018-02-21,Mobile,1,2463,0
53,34.84616999541062,87350.75465706846,6270.086058639565,2018-02-22,Home Appliance,1,2462,0
54,54.175144332613016,81516.84414559767,2713.0370166345724,2018-02-23,Mobile,1,2461,0
55,60.46499283743927,61242.3711538645,5527.946576747568,2018-02-24,Electronics,1,2460,0
56,58.96920178674298,58209.41580154871,2976.6606907876026,2018-02-25,TV,1,2459,0
57,32.41173715166042,74361.14822521387,2539.961268833309,2018-02-26,Home Appliance,1,2458,1
58,40.36181436223178,104318.22548148411,9190.699165019407,2018-02-27,Mobile,1,2457,2
59,49.96895147105346,88590.0038648608,3992.157896772407,2018-02-28,Home Appliance,1,2456,0
60,59.63317690683539,65734.64169784736,6094.7414177116025,2018-03-01,TV,1,2455,0
61,37.81238643232065,94292.46776620862,4755.62148941261,2018-03-02,Mobile,1,2454,0
62,42.215115350042744,3786.4344842481078,2819.229981264145,2018-03-03,Electronics,1,2453,0
63,28.404975389909577,103719.14250930259,4190.048900771254,2018-03-04,Mobile,1,2452,1
64,27.056900638789937,31507.155530547512,2831.347587067727,2018-03-05,Home Appliance,1,2451,0
65,57.18788733591297,65938.9764649217,12059.51647623211,2018-03-06,Home Appliance,1,2450,2
66,65.34360042856234,47008.252634346405,6575.087983002735,2018-03-07,Home Appliance,1,2449,0
67,43.91984817629499,42632.96310697736,4715.366975141064,2018-03-08,Home Appliance,1,2448,0
68,60.052993468380365,104020.66968446298,5951.166694047576,2018-03-09,Electronics,1,2447,0
69,50.424540375714514,63307.46996720272,6388.933983436244,2018-03-10,Mobile,1,2446,0
70,35.323203680923136,83662.59704326789,6396.4064146130495,2018-03-11,Electronics,1,2445,0
71,50.42093408262621,73826.98552802039,6276.350018271155,2018-03-12,Electronics,1,2444,0
72,68.07054849698955,86926.02068057803,6065.433069904373,2018-03-13,Electronics,1,2443,0
73,44.46260941335073,76920.54727650639,4890.177765084336,2018-03-14,Home Appliance,1,2442,0
74,68.4696548372101,42925.194395285755,8876.47793895078,2018-03-15,Home Appliance,1,2441,0
75,5.703823438653835,99906.6704861785,5031.716156953477,2018-03-16,Home Appliance,1,2440,1
76,57.32853756562836,62656.08542096719,4777.462112175747,2018-03-17,Mobile,1,2439,0
77,46.30570602357257,36085.45253350622,5051.232535207219,2018-03-18,TV,1,2438,0
78,40.51488974301199,64297.12097585219,5213.752442745817,2018-03-19,Home Appliance,1,2437,0
79,46.37641164803254,112518.99476585777,1992.272395109447,2018-03-20,Mobile,1,2436,0
80,15.186466280986608,96255.54355283732,3095.960953237259,2018-03-21,Home Appliance,1,2435,1
81,41.70492168243732,66283.69663980351,4447.145865734375,2018-03-22,Home Appliance,1,2434,0
82,50.3566885726762,66268.55739203928,1940.9294699458533,2018-03-23,Electronics,1,2433,0
83,67.16841067112274,66959.12371956544,4711.932209597231,2018-03-24,Electronics,1,2432,0
84,37.22594672589529,126918.69958902102,5182.989066133961,2018-03-25,Electronics,1,2431,1
85,32.87259595660218,84548.38630578884,2439.4285158563675,2018-03-26,Mobile,1,2430,1
86,37.47364434623195,85751.04117977674,3457.793069936071,2018-03-27,TV,1,2429,0
87,58.731031765531114,100757.08635079605,8018.9646275992545,2018-03-28,TV,1,2428,0
88,49.93126664489527,80969.72897566285,5978.06397250298,2018-03-29,Mobile,1,2427,0
89,37.05359694349442,68523.94635448242,5827.810608458595,2018-03-30,Home Appliance,1,2426,0
90,52.699011496700344,70091.25377287554,7588.394132667687,2018-03-31,Mobile,1,2425,0
91,46.456163240220604,73209.9685146484,3125.0371164718276,2018-04-01,Home Appliance,1,2424,0
92,59.52967485799334,74069.44408725396,2443.056679020935,2018-04-02,Mobile,1,2423,0
93,34.469203591839715,93190.73859092449,7140.997734569203,2018-04-03,Mobile,1,2422,1
94,40.085067801033475,76298.64714518249,4504.509044373251,2018-04-04,Mobile,1,2421,0
95,39.118377703017636,93316.00193038948,3085.0531473377027,2018-04-05,TV,1,2420,0
96,23.04727577801822,72982.08549728544,10792.393960401607,2018-04-06,Electronics,1,2419,2
97,49.44180415596864,76965.87975790226,1984.0078258064245,2018-04-07,Mobile,1,2418,0
98,48.91582908269834,25044.98288669731,5077.236388448708,2018-04-08,TV,1,2417,0
99,45.07670184963691,97908.19186756204,4268.056040009388,2018-04-09,Electronics,1,2416,0
100,41.481192999372794,83662.21189744982,3936.302376525885,2018-04-10,Electronics,1,2415,0
101,23.769438869243785,99950.2527464913,1333.7496408937025,2018-04-11,Mobile,1,2414,1
102,38.69032015851961,2593.615545157765,8824.888208021159,2018-04-12,Home Appliance,1,2413,2
103,39.85928225209846,127209.36761951819,2216.950202007223,2018-04-13,Home Appliance,1,2412,1
104,32.96584096167572,71510.25929612065,4114.007890010974,2018-04-14,Home Appliance,1,2411,0
105,42.580714325009865,102704.57041843791,3799.4537029002727,2018-04-15,Mobile,1,2410,0
106,51.060762852218076,49002.351821861725,6057.047372674037,2018-04-16,Home Appliance,1,2409,0
107,73.29278851815795,90319.34762656424,1995.6788174817707,2018-04-17,TV,1,2408,0
108,47.61866719247759,48664.6109206586,5737.967492692664,2018-04-18,TV,1,2407,0
109,48.86325586084146,59405.77598260487,5088.592021957981,2018-04-19,TV,1,2406,0
110,43.883311263507494,122850.78384666966,3377.721577372875,2018-04-20,TV,1,2405,1
111,16.21843177051438,70232.93998091633,5648.472546407369,2018-04-21,Electronics,1,2404,1
112,44.602291868261744,80435.82182949307,4708.152926282364,2018-04-22,TV,1,2403,0
113,45.9034531491154,96751.69326721886,9750.443034844748,2018-04-23,Home Appliance,1,2402,2
114,81.94863168727929,87392.04719931511,4266.296145951015,2018-04-24,Mobile,1,2401,0
115,42.114585528283165,78760.47262858941,2890.4511234349775,2018-04-25,Home Appliance,1,2400,0
116,49.523210135004184,84124.02506165563,5763.377600536286,2018-04-26,TV,1,2399,0
117,44.47932345442135,135085.38963095687,4022.5264441476343,2018-04-27,Electronics,1,2398,1
118,27.46982943570702,73559.53007416037,4665.136094792145,2018-04-28,TV,1,2397,1
119,62.14234221772531,80027.47616787419,2453.131654527726,2018-04-29,Mobile,1,2396,0
120,56.27899549030161,101266.35990019029,6098.16947147504,2018-04-30,Home Appliance,1,2395,0
121,56.865479205645705,102638.1483239496,3723.1256093521188,2018-05-01,Mobile,1,2394,0
122,31.359188178078917,104675.7576390095,5264.915273528004,2018-05-02,Mobile,1,2393,1
123,66.04191466404149,90968.25555072962,10830.9097321367,2018-05-03,Mobile,1,2392,2
124,23.972234058115788,46424.87718173792,4153.112288428586,2018-05-04,Home Appliance,1,2391,1
125,53.80285640700406,115835.7883075274,6465.9785261416455,2018-05-05,TV,1,2390,0
126,77.85683438714968,46341.365174532795,4286.023066150828,2018-05-06,Mobile,1,2389,0
127,30.141955123039676,82565.88663097583,3399.7275711255807,2018-05-07,Home Appliance,1,2388,1
128,36.50553405595842,56143.103749516056,8142.5072326259315,2018-05-08,Electronics,1,2387,2
129,46.49477047631462,73396.54133517519,1684.3110615979842,2018-05-09,Home Appliance,1,2386,0
130,37.44786518825701,83219.06025758701,7199.0404599113035,2018-05-10,Electronics,1,2385,0
131,21.74004853400801,83033.93038625683,1573.4264442598237,2018-05-11,Home Appliance,1,2384,1
132,46.02844462209041,85548.01885588212,6872.6666607751295,2018-05-12,TV,1,2383,0
133,29.065444294108428,115342.78172646617,4697.567973880317,2018-05-13,Mobile,1,2382,1
134,52.10388645952772,86338.3575378495,2894.372302819483,2018-05-14,TV,1,2381,0
135,31.208636486492953,68896.08411773379,3841.437722113138,2018-05-15,Home Appliance,1,2380,1
